name,isin,market_cap,book_value,p_bv,p_e
PKNORLEN,PLPKN0000018,74578.92,85966.00,0.87,3.20
PKOBP,PLPKO0000016,37862.50,31705.00,1.19,13.50
DINOPL,PLDINPL00011,36794.41,3874.07,9.50,35.40
PZU,PLPZU0000011,30585.98,15575.00,1.96,9.90
SANPL,PLBZ00000044,26507.91,27106.50,0.98,12.70
KGHM,PLKGHM000017,25350.00,32206.00,0.79,3.80
PEKAO,PLPEKAO00016,22703.66,20937.01,1.08,14.90
INGBSK,PLBSK0000017,21440.48,7422.90,2.89,12.50
LPP,PLLPP0000011,19747.67,3778.48,5.23,26.20
PGE,PLPGER000010,15445.72,55846.00,0.28,3.30
CDPROJEKT,PLOPTTC00011,13063.93,1998.52,6.54,43.50
MBANK,PLBRE0000012,12560.31,11476.94,1.09,
CYFRPLSAT,PLCFRPT00013,11262.41,15128.30,0.74,10.40
HANDLOWY,PLBH00000012,9877.87,7262.61,1.36,8.10
ORANGEPL,PLTLKPL00017,8695.68,13579.00,0.64,17.70
BNPPPL,PLBGZ0000010,8265.22,10863.41,0.76,
BUDIMEX,PLBUDMX00013,7250.55,1079.79,6.71,14.30
JSW,PLJSW0000015,6828.66,14151.00,0.48,0.90
INTERCARS,PLINTCS00010,6531.49,3640.82,1.79,8.50
ASSECOPOL,PLSOFTB00016,6025.82,6608.40,0.91,12.50
KRUK,PLKRK0000010,5988.82,3131.99,1.91,7.40
PEP,PLPLSEP00013,5744.99,3069.61,1.87,46.50
MILLENNIUM,PLBIG0000016,5556.07,4865.78,1.14,
ZYWIEC,PLZYWIC00016,4940.51,287.32,17.20,36.50
ALIOR,PLALIOR00045,4474.09,5445.73,0.82,10.60
KETY,PLKETY000011,4410.12,1844.53,2.39,6.10
GRUPAAZOTY,PLZATRM00012,3916.24,9817.05,0.40,2.10
TAURONPE,PLTAURN00011,3713.65,17235.00,0.22,13.50
XTB,PLXTRDM00011,3641.24,1462.36,2.49,4.60
GTC,PLGTC0000037,3548.90,5537.02,0.64,13.20
ENEA,PLENEA000013,3178.39,15791.74,0.20,2.70
WIRTUALNA,PLWRTPL00027,2957.72,829.72,3.56,14.80
ENERGA,PLENERG00022,2915.03,11646.00,0.25,1.90
NEUCA,PLTRFRM00018,2889.23,867.79,3.33,19.60
GRUPRACUJ,PLGRPRC00015,2792.04,307.43,9.08,13.80
LIVECHAT,PLLVTSF00010,2755.25,116.17,23.72,20.40
STSHOLDING,PLSTSHL00012,2708.05,119.66,22.63,21.50
DOMDEV,PLDMDVL00012,2427.10,1262.87,1.92,8.10
CCC,PLCCC0000016,2352.19,684.00,3.44,
ASSECOSEE,PLASSEE00014,2257.40,1108.01,2.04,11.20
CIECH,PLCIECH00018,2184.94,2539.84,0.86,7.50
